lane_section	bn_topics	lane_says	bn_says
2266	bn-338-the-gerund	2266. (1.) The ablative of the gerundive construction or gerund denotes means, less often 	The Gerund
2267	bn-338-the-gerund	2267. (2.) The ablative of the gerundive construction or gerund is also accompanied by a p	The Gerund
2268	bn-338-the-gerund	2268. With a comparative expression, the ablative of the gerundive is found once: nūllum o	The Gerund
2270	bn-340-the-supine	2270. The supine in -um denotes purpose with verbs of motion (1166): as, abiīt piscātum, P	The Supine
2272	bn-340-the-supine	2272. The supine in -um may be followed by the same construction as its verb: as, (a.) Acc	The Supine
2273	bn-340-the-supine	2273. The supine in -um followed by īrī forms the future passive infinitive: as, eum excep	The Supine
2274	bn-340-the-supine	2274. The supine in -ū is used with fās, nefās, and adjectives, chiefly of such meaning as	The Supine
2275	bn-340-the-supine	2275. The supine in -ū sometimes introduces a subordinate sentence, but it is never used w	The Supine
2276	bn-340-the-supine	2276. The supine in -ū is found rarely with opus est (1379), dīgnus and indīgnus (1392): a	The Supine
2279	bn-336-participles	2279. (1.) The time to which the participle refers is indicated by the verb of the sentenc	Participles
2280	bn-336-participles	2280. (2.) The perfect participle of deponents is sometimes used with past tenses or their	Participles
2282	bn-336-participles	2282. The present or perfect participle is often used as an adjective to express a permane	Participles
2283	bn-336-participles	2283. The future participle is found as an adjective in the Augustan poets and in late wri	Participles
2285	bn-336-participles	2285. A perfect participle in agreement with a substantive often contains the leading idea	Participles
2288	bn-336-participles	2288. The masculine plural of the perfect participle, when used as a substantive, generall	Participles
2289	bn-336-participles	2289. The perfect participle alone sometimes serves as the subject of a sentence instead o	Participles
2290	bn-336-participles	2290. The present participle is rarely a substantive in the nominative and ablative singul	Participles
2291	bn-336-participles	2291. The genitive plural of the present participle is often best translated by an English	Participles
2292	bn-336-participles	2292. The future participle is very rarely used as a substantive. audītūrum dictūrī cūra d	Participles
2294	bn-336-participles	2294. (1.) The appositive participle may represent a relative sentence: as, nōvī ego Epicū	Participles
2295	bn-336-participles	2295. (2.) The appositive participle, representing other sentences, may express various re	Participles
2296	bn-336-participles	2296. The participle with a negative may be translated by without: as, id illa ūnivorsum a	Participles
2297	bn-336-participles	2297. habeō is sometimes used with certain perfect participles to express an action contin	Participles
2298	bn-336-participles	2298. The present participle is used predicatively with verbs signifying represent, and wi	Participles
2299	bn-326-the-infinitive,bn-336-participles	2299. A passive with a verb meaning represent is expressed, for lack of a present passive 	The Infinitive; Participles
2301	bn-257-tenses-of-the-indicative	2301. A verb is sometimes used to denote action proposed, attempted, or begun, but not nec	Tenses of the Indicative
2302	bn-257-tenses-of-the-indicative	2302. This use is particularly common in the imperfect indicative: as, nostrōs ingredī pro	Tenses of the Indicative
2304		2304. A verb is sometimes used to denote not what the subject actually does himself, but w	
2305	bn-271-moods-in-independent-sentences	2305. A verb is sometimes used to indicate action that can be done, and especially action 	Moods in Independent Sentences
2306	bn-271-moods-in-independent-sentences	2306. A verb is sometimes used to denote obligatory action. This is called the Obligatory 	Moods in Independent Sentences
2307		2307. A verb is sometimes used to denote permitted action. This is called the Permissive U	
2312	bn-314-moods-in-indirect-discourse	2312. Declarative sentences of direct discourse are put in the accusative with the infinit	Moods in Indirect Discourse
2313	bn-314-moods-in-indirect-discourse	2313. Rhetorical questions (that is, declarations made for effect in the form of questions	Moods in Indirect Discourse
2314	bn-314-moods-in-indirect-discourse	2314. Questions which are in the subjunctive in direct discourse retain the subjunctive in	Moods in Indirect Discourse
2315	bn-314-moods-in-indirect-discourse	2315. The verb of a subordinate sentence, introduced by a relative word or a conjunctive p	Moods in Indirect Discourse
2316	bn-314-moods-in-indirect-discourse	2316. Relative sentences equivalent to main sentences (1835) may be put in the accusative 	Moods in Indirect Discourse
2317	bn-314-moods-in-indirect-discourse	2317. So also sentences introduced by certain conjunctive particles are occasionally put i	Moods in Indirect Discourse
2318	bn-314-moods-in-indirect-discourse	2318. Relative sentences which are not a part of the quotation, but an addition of the wri	Moods in Indirect Discourse
2319	bn-323-implied-indirect-discourse	2319. Sentences containing the thought of another, introduced by a relative pronoun or by 	Implied Indirect Discourse
2321	bn-317-tenses-in-indirect-discourse	2321. The tenses of the infinitive follow their usual law (2218), representing the action 	Tenses in Indirect Discourse
2322	bn-317-tenses-in-indirect-discourse	2322. The tenses of the subjunctive follow the law of the sequence of tenses; see 1745. Th	Tenses in Indirect Discourse
2323	bn-317-tenses-in-indirect-discourse	2323. But the present and perfect subjunctive are often used, especially when the main ver	Tenses in Indirect Discourse
2324	bn-317-tenses-in-indirect-discourse	2324. The future of direct discourse is represented in indirect discourse by the imperfect	Tenses in Indirect Discourse
2325	bn-244-syntax-of-reflexive-pronouns,bn-314-moods-in-indirect-discourse	2325. ego and nōs, of direct discourse, are represented by sē in indirect discourse, and m	Syntax of reflexive pronouns; Moods in Indirect Discourse
2327	bn-319-conditional-sentences-in-indirect	2327. The tense of the protasis is generally imperfect or pluperfect (2322): as, 424 Ariov	Conditional Sentences in Indirect Discourse
2328	bn-319-conditional-sentences-in-indirect	2328. But indeterminate protases (2023) are sometimes put in the present or perfect subjun	Conditional Sentences in Indirect Discourse
2329	bn-319-conditional-sentences-in-indirect	2329. Protases of action non-occurrent (2024) remain in the imperfect or pluperfect, even 	Conditional Sentences in Indirect Discourse
2330	bn-319-conditional-sentences-in-indirect	2330. In indeterminate conditional periods (2023), the apodosis simply follows the general	Conditional Sentences in Indirect Discourse
2331	bn-319-conditional-sentences-in-indirect	2331. In conditional periods of action non-occurrent (2024), the future participle with fu	Conditional Sentences in Indirect Discourse
2332	bn-319-conditional-sentences-in-indirect	2332. The perfect infinitive is exceptionally used; this is based upon the indicative in a	Conditional Sentences in Indirect Discourse
2333	bn-319-conditional-sentences-in-indirect	2333. possum, in the apodosis of a conditional period of action non-occurrent (2101), is r	Conditional Sentences in Indirect Discourse
2336	bn-244-syntax-of-reflexive-pronouns	2336. The reflexive regularly refers to the subject of the verb: as, fugae sēsē mandābant,	Syntax of reflexive pronouns
2337	bn-244-syntax-of-reflexive-pronouns	2337. The reflexive sometimes refers to a word not the subject, when that word is speciall	Syntax of reflexive pronouns
2338	bn-244-syntax-of-reflexive-pronouns	2338. In the construction of the accusative with the infinitive (2175), the reflexive is r	Syntax of reflexive pronouns
2340	bn-244-syntax-of-reflexive-pronouns	2340. When the subject of the infinitive is different from that of the verb, the reflexive	Syntax of reflexive pronouns
2341	bn-244-syntax-of-reflexive-pronouns	2341. In subordinate subjunctive clauses of purpose, indirect discourse, or indirect quest	Syntax of reflexive pronouns
2342	bn-244-syntax-of-reflexive-pronouns	2342. The reflexive, in such subordinate clauses, sometimes refers to an emphatic word not	Syntax of reflexive pronouns
2343	bn-244-syntax-of-reflexive-pronouns	2343. The reflexive referring to the main subject is sometimes irregularly used in subordi	Syntax of reflexive pronouns
2344	bn-245-reciprocal-pronouns	2344. The place of a reciprocal pronoun, each other, is supplied by inter nōs, inter vōs, 	Reciprocal Pronouns
2345	bn-245-reciprocal-pronouns	2345. From Livy on, invicem inter sē, invicem sē, or invicem alone, is often used in the e	Reciprocal Pronouns
2347	bn-246-syntax-of-demonstrative-pronouns	2347. hīc points out what is near the speaker in place, time, or thought: as, hī domum mē 	Syntax of demonstrative pronouns
2348	bn-246-syntax-of-demonstrative-pronouns	2348. hīc sometimes points out the speaker with pathos, or with emphasis, particularly in 	Syntax of demonstrative pronouns
2349	bn-246-syntax-of-demonstrative-pronouns	2349. The neuter plural haec sometimes means the realm, our country, our state, the [Roman	Syntax of demonstrative pronouns
2350	bn-246-syntax-of-demonstrative-pronouns	2350. hīc, as expressing a familiar, every-day thing, occasionally has a shade of contempt	Syntax of demonstrative pronouns
2351	bn-246-syntax-of-demonstrative-pronouns	2351. When hīc relates to the words of a sentence, it points out what has preceded or is t	Syntax of demonstrative pronouns
2352	bn-246-syntax-of-demonstrative-pronouns	2352. hīc and ille are often opposed, particularly in contrasts of classes: as, laudātur a	Syntax of demonstrative pronouns
2353	bn-246-syntax-of-demonstrative-pronouns	2353. In transitions, ille introduces a new thing, hīc denotes the aforementioned: as, sed	Syntax of demonstrative pronouns
2354	bn-246-syntax-of-demonstrative-pronouns	2354. When hīc and ille refer to two different persons or things named in the sentence, hī	Syntax of demonstrative pronouns
2356	bn-246-syntax-of-demonstrative-pronouns	2356. iste points out something near to, belonging to, or imputed to the person addressed:	Syntax of demonstrative pronouns
2357	bn-246-syntax-of-demonstrative-pronouns	2357. From its use in addressing opponents or in talking at them, iste is common in contem	Syntax of demonstrative pronouns
2358	bn-246-syntax-of-demonstrative-pronouns	2358. ille points to what is remote in place, time, or thought: as, ergō illī intellegunt 	Syntax of demonstrative pronouns
2359	bn-246-syntax-of-demonstrative-pronouns	2359. ille is used to point out a celebrity, often one of the past. So, particularly witho	Syntax of demonstrative pronouns
2360	bn-246-syntax-of-demonstrative-pronouns	2360. Indicating change of subject, ille is this other man. In such cases it is often best	Syntax of demonstrative pronouns
2361	bn-246-syntax-of-demonstrative-pronouns	2361. In concessions, ille often precedes quidem; in translation no pronoun is required. l	Syntax of demonstrative pronouns
2365	bn-246-syntax-of-demonstrative-pronouns	2365. is refers to something named in the context. When some feeling is to be expressed, s	Syntax of demonstrative pronouns
2366	bn-246-syntax-of-demonstrative-pronouns	2366. (1.) is refers to something named before or after: as, eius omnis ōrātiō versāta est	Syntax of demonstrative pronouns
2367	bn-246-syntax-of-demonstrative-pronouns	2367. With a connective, is denotes an important addition: as, vincula et ea sempiterna, C	Syntax of demonstrative pronouns
2368	bn-246-syntax-of-demonstrative-pronouns	2368. (2.) is indicates something explained or restricted by a relative or indefinite, quī	Syntax of demonstrative pronouns
2370	bn-246-syntax-of-demonstrative-pronouns	2370. is sometimes is loosely used for the reflexive sē (2341); here the point of view of 	Syntax of demonstrative pronouns
2371	bn-246-syntax-of-demonstrative-pronouns	2371. īdem, the same, often connects two different predicates to the same person or thing.	Syntax of demonstrative pronouns
2372	bn-246-syntax-of-demonstrative-pronouns	2372. īdem is often used with other pronouns, hīc, iste, istūc, ille: as, haec eadem centu	Syntax of demonstrative pronouns
2373	bn-246-syntax-of-demonstrative-pronouns	2373. The same as is expressed by īdem followed by quī, atque or ac, ut, quasi, cum, somet	Syntax of demonstrative pronouns
2375	bn-246-syntax-of-demonstrative-pronouns	2375. ipse may contrast the chief person with subordinates, or a person with any thing bel	Syntax of demonstrative pronouns
2376	bn-246-syntax-of-demonstrative-pronouns	2376. ipse is often used with personals and reflexives agreeing with the emphatic word. Bu	Syntax of demonstrative pronouns
2377	bn-246-syntax-of-demonstrative-pronouns	2377. ipse alone sometimes stands for an emphatic sē or suus: as, 434 pertimuērunt nē ab i	Syntax of demonstrative pronouns
2379	bn-246-syntax-of-demonstrative-pronouns	2379. (1.) Actual, positive, even. habet certōs suī studiōsōs, quōs valētūdō modo bona sit	Syntax of demonstrative pronouns
2380	bn-246-syntax-of-demonstrative-pronouns	2380. (2.) Regular, proper, real. flagrantem invidiā propter interitum C. Gracchī ipse pop	Syntax of demonstrative pronouns
2381	bn-246-syntax-of-demonstrative-pronouns	2381. (3.) As well, likewise, too, for which, from Livy on, et ipse is used. hoc Rīpheus, 	Syntax of demonstrative pronouns
2382	bn-246-syntax-of-demonstrative-pronouns	2382. (4.) Alone, mere. nōn sōlum adventus malī, sed etiam metus ipse adfert calamitātem, 	Syntax of demonstrative pronouns
2383	bn-246-syntax-of-demonstrative-pronouns	2383. (5.) Exactly, just, with numerals and dates, or right, of place. annīs LXXXVI ipsīs 	Syntax of demonstrative pronouns
2384	bn-246-syntax-of-demonstrative-pronouns	2384. (6.) Of oneself, voluntarily, of one’s own motion. valvae subitō sē ipsae aperuērunt	Syntax of demonstrative pronouns
2386	bn-090-interrogative-pronouns	2386. quis and quid ask to have a thing named; quī and quod to have it described. But see 	Interrogative Pronouns
2388	bn-252-syntax-of-indefinite-pronouns	2388. quis or quī, a, some, somebody, always stands after one or more words of the sentenc	Syntax of indefinite pronouns
2389	bn-252-syntax-of-indefinite-pronouns	2389. quispiam, a, some, one or another. forsitan quispiam dīxerit, Off. 3, 29, peradventu	Syntax of indefinite pronouns
2390	bn-252-syntax-of-indefinite-pronouns	2390. aliquis or aliquī some one, some one or other, has always some affirmative emphasis,	Syntax of indefinite pronouns
2391	bn-252-syntax-of-indefinite-pronouns	2391. aliquis is sometimes equivalent to aliquis alius: as, cum M. Pīsōne et cum Q. Pompēi	Syntax of indefinite pronouns
2392	bn-252-syntax-of-indefinite-pronouns	2392. quīdam, a, a certain, denotes a thing which we cannot describe or do not care to. nō	Syntax of indefinite pronouns
2393	bn-252-syntax-of-indefinite-pronouns	2393. quīdam is often used to soften an exaggeration or a metaphor, sometimes to denote co	Syntax of indefinite pronouns
2394	bn-252-syntax-of-indefinite-pronouns	2394. quisque, each, each in particular, each by himself, applies what is stated of all to	Syntax of indefinite pronouns
2395	bn-252-syntax-of-indefinite-pronouns	2395. quisque is sometimes used in a relative and demonstrative sentence both. quod cuique	Syntax of indefinite pronouns
2396	bn-252-syntax-of-indefinite-pronouns	2396. In a complex sentence, consisting of a main and a relative sentence, quisque is usua	Syntax of indefinite pronouns
2397	bn-252-syntax-of-indefinite-pronouns	2397. quisque is often used with sē or suus, superlatives, and ordinals, holding an unemph	Syntax of indefinite pronouns
2398	bn-252-syntax-of-indefinite-pronouns	2398. In old Latin quisque is sometimes equivalent to quīcumque or quisquis, whoever: as, 	Syntax of indefinite pronouns
2399	bn-253-syntax-of-pronominal-adjectives	2399. uterque, each, is used of two individuals, and utrīque of two sets or parties. But s	Syntax of pronominal adjectives
2400	bn-245-reciprocal-pronouns	2400. Reciprocal relations (2344) are sometimes expressed by uterque followed by a differe	Reciprocal Pronouns
2401	bn-252-syntax-of-indefinite-pronouns	2401. quīvīs and quīlibet, any you please, are used either in affirmative or negative sent	Syntax of indefinite pronouns
2402	bn-252-syntax-of-indefinite-pronouns	2402. quisquam (692), a single one, any one at all, and ūllus, any, are used chiefly in ne	Syntax of indefinite pronouns
2403	bn-252-syntax-of-indefinite-pronouns	2403. nēmō is generally used for nōn quisquam, nēmō umquam for numquam quisquam, nihil for	Syntax of indefinite pronouns
2420	bn-078-numerals	2420. Distributives are used to denote an equal division among several persons or things, 	Numerals
2421	bn-078-numerals	2421. Distributives are also used with substantives which have no singular, or which have 	Numerals
